Year,Female,Male
2000,9,91
2001,8,92
2002,8,92
2003,9,91
2004,9,91
2005,9,91
2006,9,91
2007,7,93
2008,8,92
2009,11,89
2010,10,90
2011,11,89
2012,17,83
2013,16,84
2014,14,86
2015,14,86
2016,19,81
2017,15,85
2018,21,80
2019,24,76
